Time,Acceleration,Velocity,Position
2660.00,-0.05,-0.00,-0.01
2671.00,-0.05,-0.00,-0.01
2684.00,-0.07,-0.00,-0.01
2695.00,-0.07,-0.00,-0.01
2708.00,-0.06,-0.00,-0.01
2720.00,-0.06,-0.00,-0.01
2731.00,-0.05,-0.00,-0.01
2744.00,-0.04,-0.00,-0.01
2755.00,-0.04,-0.00,-0.01
2768.00,-0.05,-0.00,-0.01
2779.00,-0.05,-0.00,-0.01
2791.00,-0.06,-0.00,-0.01
2804.00,-0.06,-0.00,-0.01
2815.00,-0.05,-0.00,-0.01
2828.00,-0.05,-0.00,-0.01
2839.00,-0.05,-0.00,-0.01
2851.00,-0.05,-0.00,-0.01
2864.00,-0.06,-0.00,-0.01
2875.00,-0.06,-0.00,-0.01
2888.00,-0.07,-0.00,-0.01
2899.00,-0.06,-0.00,-0.01
2912.00,-0.05,-0.00,-0.01
2924.00,-0.06,-0.00,-0.01
2935.00,-0.05,-0.00,-0.01
2948.00,-0.06,-0.00,-0.01
2959.00,-0.05,-0.00,-0.01
2971.00,-0.05,-0.00,-0.01
2984.00,-0.05,-0.00,-0.01
2995.00,-0.05,-0.00,-0.01
3008.00,-0.05,-0.00,-0.01
3020.00,-0.05,-0.00,-0.01
3031.00,-0.04,-0.00,-0.01
3044.00,-0.04,-0.00,-0.01
3055.00,-0.04,-0.00,-0.01
